EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,HourlyRate,JobLevel,JobRole,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobCategory,Education_Text,EnvironmentSat_Text,JobInvolvement_Text,JobSatisfaction_Text,PerformanceRating_Text,RelationshipSat_Text,WorkLifeBalance_Text
45,24,Yes,Travel_Rarely,813,Research & Development,1,Medical,1,Male,61,1,Research Scientist,Married,2293,3020,2,Y,Yes,16,80,1,6,2,2,0,2,0,Tech,Bachelor,Medium,High,Very High,Excellent,Low,Good
46,43,No,Travel_Rarely,1273,Research & Development,2,Medical,1,Female,72,1,Research Scientist,Divorced,2645,21923,1,Y,No,12,80,2,6,3,5,3,1,4,Tech,College,Very High,Very High,High,Excellent,Very High,Good
51,36,No,Travel_Rarely,852,Research & Development,5,Life Sciences,1,Female,82,1,Research Scientist,Married,3419,13072,9,Y,Yes,14,80,1,6,3,1,1,0,0,Tech,Master,Medium,Medium,Low,Excellent,Very High,Bestß
53,35,No,Travel_Rarely,464,Research & Development,4,Other,1,Male,75,1,Laboratory Technician,Divorced,1951,10910,1,Y,No,12,80,1,1,3,1,0,0,0,Tech,College,High,High,Very High,Excellent,High,Better
54,27,No,Travel_Rarely,1240,Research & Development,2,Life Sciences,1,Female,33,1,Laboratory Technician,Divorced,2341,19715,1,Y,No,13,80,1,1,6,1,0,0,0,Tech,Master,Very High,High,Low,Excellent,Very High,Better
55,26,Yes,Travel_Rarely,1357,Research & Development,25,Life Sciences,1,Male,48,1,Laboratory Technician,Single,2293,10558,1,Y,No,12,80,0,1,2,1,0,0,1,Tech,Bachelor,Low,Low,High,Excellent,High,Good
57,30,No,Travel_Frequently,721,Research & Development,1,Medical,1,Female,58,2,Laboratory Technician,Single,4011,10781,1,Y,No,23,80,0,12,2,12,8,3,7,Tech,College,High,High,Very High,Outstandingß,Very High,Better
61,37,No,Travel_Rarely,408,Research & Development,19,Life Sciences,1,Male,73,1,Research Scientist,Married,3022,10227,4,Y,No,21,80,0,8,1,1,0,0,0,Tech,College,Medium,High,Medium,Outstandingß,Low,Better
63,35,No,Travel_Rarely,1229,Research & Development,8,Life Sciences,1,Male,36,1,Laboratory Technician,Married,2269,4892,1,Y,No,19,80,0,1,2,1,0,0,1,Tech,Below College,Very High,Very High,Very High,Excellent,Very High,Better
64,48,Yes,Travel_Rarely,626,Research & Development,1,Life Sciences,1,Male,98,3,Laboratory Technician,Single,5381,19294,9,Y,Yes,13,80,0,23,2,1,0,0,0,Tech,College,Low,Medium,High,Excellent,Very High,Better
65,28,Yes,Travel_Rarely,1434,Research & Development,5,Technical Degree,1,Male,50,1,Laboratory Technician,Single,3441,11179,1,Y,Yes,13,80,0,2,3,2,2,2,2,Tech,Master,High,High,High,Excellent,High,Good
70,35,No,Non-Travel,1097,Research & Development,11,Medical,1,Male,79,3,Healthcare Representative,Married,9884,8302,2,Y,Yes,13,80,1,10,3,4,0,2,3,Tech,College,High,Medium,Low,Excellent,High,Better
75,35,No,Travel_Rarely,1142,Research & Development,23,Medical,1,Female,30,1,Laboratory Technician,Married,4014,16002,3,Y,Yes,15,80,1,4,3,2,2,2,2,Tech,Master,High,High,Low,Excellent,High,Better
76,31,No,Travel_Rarely,655,Research & Development,7,Life Sciences,1,Male,48,2,Laboratory Technician,Divorced,5915,9528,3,Y,No,22,80,1,10,3,7,7,1,7,Tech,Master,Very High,High,Very High,Outstandingß,Very High,Good
79,38,No,Travel_Frequently,653,Research & Development,29,Life Sciences,1,Female,50,2,Laboratory Technician,Single,2406,5456,1,Y,No,11,80,0,10,2,10,3,9,9,Tech,Doctor,Very High,High,Very High,Excellent,Very High,Better
83,36,No,Travel_Rarely,1223,Research & Development,8,Technical Degree,1,Female,59,3,Healthcare Representative,Divorced,10096,8202,1,Y,No,13,80,3,17,2,17,14,12,8,Tech,Bachelor,High,High,High,Excellent,Medium,Better
86,45,No,Travel_Rarely,1339,Research & Development,7,Life Sciences,1,Male,59,3,Research Scientist,Divorced,9724,18787,2,Y,No,17,80,1,25,2,1,0,0,0,Tech,Bachelor,Medium,High,Low,Excellent,High,Better
138,34,No,Travel_Rarely,665,Research & Development,6,Other,1,Female,41,2,Research Scientist,Single,4809,12482,1,Y,No,14,80,0,16,3,16,13,2,10,Tech,Master,Low,High,High,Excellent,High,Better
88,35,No,Travel_Frequently,664,Research & Development,1,Medical,1,Male,79,1,Research Scientist,Married,2194,5868,4,Y,No,13,80,1,5,2,3,2,1,2,Tech,Bachelor,Medium,High,Low,Excellent,Very High,Good
90,36,Yes,Travel_Rarely,318,Research & Development,9,Medical,1,Male,79,1,Research Scientist,Married,3388,21777,0,Y,Yes,17,80,1,2,0,1,0,0,0,Tech,Bachelor,Very High,Medium,High,Excellent,Low,Good
94,29,No,Travel_Rarely,1328,Research & Development,2,Life Sciences,1,Male,76,1,Research Scientist,Married,2703,4956,0,Y,No,23,80,1,6,3,5,4,0,4,Tech,Bachelor,High,High,Medium,Outstandingß,Very High,Better
95,31,No,Travel_Rarely,1082,Research & Development,1,Medical,1,Male,87,1,Research Scientist,Single,2501,18775,1,Y,No,17,80,0,1,4,1,1,1,0,Tech,Master,High,High,Medium,Excellent,Medium,Better
96,32,No,Travel_Rarely,548,Research & Development,1,Life Sciences,1,Male,66,2,Research Scientist,Married,6220,7346,1,Y,No,17,80,2,10,3,10,4,0,9,Tech,Bachelor,Medium,High,Medium,Excellent,Medium,Better
97,36,No,Travel_Rarely,132,Research & Development,6,Life Sciences,1,Female,55,1,Laboratory Technician,Married,3038,22002,3,Y,No,12,80,0,5,3,1,0,0,0,Tech,Bachelor,Medium,Very High,Very High,Excellent,Medium,Better
104,30,No,Travel_Rarely,852,Research & Development,1,Life Sciences,1,Male,55,2,Laboratory Technician,Married,5126,15998,1,Y,Yes,12,80,2,10,1,10,8,3,0,Tech,Below College,Very High,Medium,Very High,Excellent,High,Good
105,35,No,Travel_Rarely,1214,Research & Development,1,Medical,1,Male,30,1,Research Scientist,Single,2859,26278,1,Y,No,18,80,0,6,3,6,4,0,4,Tech,Bachelor,Medium,Medium,High,Excellent,Low,Better
107,38,No,Non-Travel,573,Research & Development,6,Medical,1,Female,79,2,Research Scientist,Divorced,5329,15717,7,Y,Yes,12,80,3,17,3,13,11,1,9,Tech,Bachelor,Medium,Low,Very High,Excellent,Very High,Better
116,51,No,Travel_Rarely,432,Research & Development,9,Life Sciences,1,Male,96,1,Laboratory Technician,Married,2075,18725,3,Y,No,23,80,2,10,4,4,2,0,3,Tech,Master,Very High,High,Very High,Outstandingß,Medium,Better
117,30,No,Travel_Rarely,288,Research & Development,2,Life Sciences,1,Male,99,2,Healthcare Representative,Married,4152,15830,1,Y,No,19,80,3,11,3,11,10,10,8,Tech,Bachelor,High,Medium,Very High,Excellent,Low,Better
119,40,No,Travel_Frequently,530,Research & Development,1,Life Sciences,1,Male,78,4,Healthcare Representative,Married,13503,14115,1,Y,No,22,80,1,22,3,22,3,11,11,Tech,Master,High,Medium,Medium,Outstandingß,Very High,Good
124,46,No,Travel_Frequently,638,Research & Development,1,Medical,1,Male,40,3,Healthcare Representative,Married,10673,3142,2,Y,Yes,13,80,1,21,5,10,9,9,5,Tech,Bachelor,High,Medium,Low,Excellent,High,Good
132,44,No,Non-Travel,489,Research & Development,23,Medical,1,Male,67,2,Laboratory Technician,Married,2042,25043,4,Y,No,12,80,1,17,3,3,2,1,2,Tech,Bachelor,Medium,High,Medium,Excellent,High,Bestß
134,32,No,Travel_Rarely,827,Research & Development,1,Life Sciences,1,Male,71,1,Research Scientist,Single,2956,15178,1,Y,No,13,80,0,1,2,1,0,0,0,Tech,Below College,Very High,High,Low,Excellent,Very High,Better
137,20,Yes,Travel_Frequently,871,Research & Development,6,Life Sciences,1,Female,66,1,Laboratory Technician,Single,2926,19783,1,Y,Yes,18,80,0,1,5,1,0,1,0,Tech,Bachelor,Very High,Medium,Very High,Excellent,Medium,Better
139,37,No,Non-Travel,1040,Research & Development,2,Life Sciences,1,Male,100,2,Healthcare Representative,Divorced,5163,15850,5,Y,No,14,80,1,17,2,1,0,0,0,Tech,College,High,Medium,Very High,Excellent,Very High,Bestß
143,25,No,Travel_Rarely,1280,Research & Development,7,Medical,1,Male,64,1,Research Scientist,Married,2889,26897,1,Y,No,11,80,2,2,2,2,2,2,1,Tech,Below College,Very High,Medium,Very High,Excellent,High,Better
144,22,No,Travel_Rarely,534,Research & Development,15,Medical,1,Female,59,1,Laboratory Technician,Single,2871,23785,1,Y,No,15,80,0,1,5,0,0,0,0,Tech,Bachelor,Medium,High,Very High,Excellent,High,Better
145,51,No,Travel_Frequently,1456,Research & Development,1,Medical,1,Female,30,3,Healthcare Representative,Single,7484,25796,3,Y,No,20,80,0,23,1,13,12,12,8,Tech,Master,Low,Medium,Low,Outstandingß,High,Good
147,34,Yes,Travel_Frequently,658,Research & Development,7,Life Sciences,1,Male,66,2,Laboratory Technician,Single,6074,22887,1,Y,Yes,24,80,0,9,3,9,7,0,6,Tech,Bachelor,Low,Low,High,Outstandingß,Very High,Better
150,24,No,Travel_Rarely,1127,Research & Development,18,Life Sciences,1,Male,52,1,Laboratory Technician,Married,2774,13257,0,Y,No,12,80,1,6,2,5,3,1,2,Tech,Below College,Medium,High,High,Excellent,High,Better
151,34,No,Travel_Rarely,1031,Research & Development,6,Life Sciences,1,Female,45,2,Research Scientist,Divorced,4505,15000,6,Y,No,15,80,1,12,3,1,0,0,0,Tech,Master,High,Medium,Medium,Excellent,High,Better
155,36,No,Travel_Rarely,922,Research & Development,3,Life Sciences,1,Female,39,1,Laboratory Technician,Divorced,2835,2561,5,Y,No,22,80,1,7,2,1,0,0,0,Tech,College,Low,High,Very High,Outstandingß,Low,Better
159,30,No,Travel_Frequently,1312,Research & Development,23,Life Sciences,1,Male,96,1,Research Scientist,Divorced,2613,22310,1,Y,No,25,80,3,10,2,10,7,0,9,Tech,Bachelor,Low,Low,High,Outstandingß,High,Good
161,56,Yes,Travel_Rarely,441,Research & Development,14,Life Sciences,1,Female,72,1,Research Scientist,Married,4963,4510,9,Y,Yes,18,80,3,7,2,5,4,4,3,Tech,Master,Medium,High,Medium,Excellent,Low,Better
164,26,No,Travel_Rarely,841,Research & Development,6,Other,1,Female,46,1,Research Scientist,Married,2368,23300,1,Y,No,19,80,0,5,3,5,4,4,3,Tech,Bachelor,High,Medium,Medium,Excellent,High,Good
165,58,Yes,Travel_Rarely,147,Research & Development,23,Medical,1,Female,94,3,Healthcare Representative,Married,10312,3465,1,Y,No,12,80,1,40,3,40,10,15,6,Tech,Master,Very High,High,Very High,Excellent,Very High,Good
169,22,No,Travel_Rarely,594,Research & Development,2,Technical Degree,1,Male,100,1,Laboratory Technician,Married,2523,19299,0,Y,No,14,80,1,3,2,2,1,2,1,Tech,Below College,High,High,Very High,Excellent,High,Better
171,43,No,Travel_Frequently,957,Research & Development,28,Medical,1,Female,72,1,Research Scientist,Single,4739,16090,4,Y,No,12,80,0,18,2,3,2,1,2,Tech,Bachelor,Medium,Very High,High,Excellent,Very High,Better
190,32,Yes,Travel_Rarely,1033,Research & Development,9,Medical,1,Female,41,1,Laboratory Technician,Single,4200,10224,7,Y,No,22,80,0,10,2,5,4,0,4,Tech,Bachelor,Low,High,Low,Outstandingß,Low,Bestß
192,45,No,Travel_Rarely,1316,Research & Development,29,Medical,1,Male,83,1,Research Scientist,Single,3452,9752,5,Y,No,13,80,0,9,2,6,5,0,3,Tech,Bachelor,High,High,Very High,Excellent,Medium,Good
193,38,No,Travel_Rarely,364,Research & Development,3,Technical Degree,1,Female,32,2,Research Scientist,Single,4317,2302,3,Y,Yes,20,80,0,19,2,3,2,2,2,Tech,Doctor,Very High,High,High,Outstandingß,Medium,Better
194,30,No,Travel_Rarely,438,Research & Development,18,Life Sciences,1,Female,75,1,Research Scientist,Single,2632,23910,1,Y,No,14,80,0,5,4,5,4,0,4,Tech,Bachelor,Low,High,High,Excellent,High,Good
197,30,No,Travel_Rarely,201,Research & Development,5,Technical Degree,1,Female,84,1,Research Scientist,Divorced,3204,10415,5,Y,No,14,80,1,8,3,3,2,2,2,Tech,Bachelor,Very High,High,Low,Excellent,Very High,Better
198,30,No,Travel_Rarely,1427,Research & Development,2,Medical,1,Male,35,1,Laboratory Technician,Single,2720,11162,0,Y,No,13,80,0,6,3,5,3,1,2,Tech,Below College,Medium,Medium,Very High,Excellent,Very High,Better
200,41,No,Travel_Rarely,933,Research & Development,9,Life Sciences,1,Male,94,1,Laboratory Technician,Married,2238,6961,2,Y,No,21,80,1,7,2,5,0,1,4,Tech,Master,High,High,Low,Outstandingß,Very High,Better
201,19,No,Travel_Rarely,1181,Research & Development,3,Medical,1,Female,79,1,Laboratory Technician,Single,1483,16102,1,Y,No,14,80,0,1,3,1,0,0,0,Tech,Below College,Medium,High,Medium,Excellent,Very High,Better
202,40,No,Travel_Frequently,1395,Research & Development,26,Medical,1,Female,54,2,Research Scientist,Divorced,5605,8504,1,Y,No,11,80,1,20,2,20,7,2,13,Tech,Bachelor,Medium,High,Medium,Excellent,Low,Better
206,45,No,Travel_Rarely,194,Research & Development,9,Life Sciences,1,Male,60,2,Laboratory Technician,Divorced,2348,10901,8,Y,No,18,80,1,20,2,17,9,0,15,Tech,Bachelor,Medium,High,Medium,Excellent,High,Bad
214,58,No,Travel_Rarely,1145,Research & Development,9,Medical,1,Female,75,1,Research Scientist,Married,3346,11873,4,Y,Yes,20,80,1,9,3,1,0,0,0,Tech,Bachelor,Medium,Medium,Medium,Outstandingß,Medium,Good
217,22,No,Travel_Rarely,1256,Research & Development,19,Medical,1,Male,80,1,Research Scientist,Married,2323,11992,1,Y,No,24,80,2,2,6,2,2,2,2,Tech,Below College,High,High,Very High,Outstandingß,Low,Better
218,27,No,Non-Travel,691,Research & Development,9,Medical,1,Male,57,1,Research Scientist,Divorced,2024,5970,6,Y,No,18,80,1,6,1,2,2,2,2,Tech,Bachelor,Very High,High,Medium,Excellent,Very High,Bad
221,28,No,Travel_Rarely,440,Research & Development,21,Medical,1,Male,42,1,Research Scientist,Married,2713,6672,1,Y,No,11,80,1,5,2,5,2,0,2,Tech,Bachelor,High,High,Very High,Excellent,High,Bad
223,57,No,Travel_Rarely,334,Research & Development,24,Life Sciences,1,Male,83,3,Healthcare Representative,Divorced,9439,23402,3,Y,Yes,16,80,1,12,2,5,3,1,4,Tech,College,High,Very High,Very High,Excellent,Medium,Bad
224,27,No,Non-Travel,1450,Research & Development,3,Medical,1,Male,79,1,Research Scientist,Divorced,2566,25326,1,Y,Yes,15,80,1,1,2,1,1,0,1,Tech,Bachelor,High,Medium,High,Excellent,Very High,Good
227,41,No,Travel_Rarely,465,Research & Development,14,Life Sciences,1,Male,56,1,Research Scientist,Divorced,2451,4609,4,Y,No,12,80,1,13,2,9,8,1,8,Tech,Bachelor,Low,High,High,Excellent,Low,Better
231,32,No,Travel_Rarely,120,Research & Development,6,Life Sciences,1,Male,43,1,Research Scientist,Single,3038,12430,3,Y,No,20,80,0,8,2,5,4,1,4,Tech,Doctor,High,High,High,Outstandingß,Low,Better
233,27,No,Travel_Rarely,1157,Research & Development,17,Technical Degree,1,Male,51,1,Research Scientist,Married,3058,13364,0,Y,Yes,16,80,1,6,3,5,2,1,1,Tech,Bachelor,High,High,Medium,Excellent,Very High,Good
238,36,No,Travel_Frequently,1480,Research & Development,3,Medical,1,Male,30,1,Laboratory Technician,Single,2088,15062,4,Y,No,12,80,0,13,3,8,7,7,2,Tech,College,Very High,High,Medium,Excellent,High,Good
239,30,No,Non-Travel,111,Research & Development,9,Medical,1,Male,66,2,Laboratory Technician,Divorced,3072,11012,1,Y,No,11,80,2,12,4,12,9,6,10,Tech,Bachelor,High,High,Low,Excellent,High,Better
241,56,No,Travel_Rarely,713,Research & Development,8,Life Sciences,1,Female,67,1,Research Scientist,Divorced,4257,13939,4,Y,Yes,18,80,1,19,3,2,2,2,2,Tech,Bachelor,High,High,Low,Excellent,High,Better
242,33,No,Travel_Rarely,134,Research & Development,2,Life Sciences,1,Male,90,1,Research Scientist,Single,2500,10515,0,Y,No,14,80,0,4,2,3,1,0,2,Tech,Bachelor,High,High,Very High,Excellent,Low,Bestß
243,19,Yes,Travel_Rarely,303,Research & Development,2,Life Sciences,1,Male,47,1,Laboratory Technician,Single,1102,9241,1,Y,No,22,80,0,1,3,1,0,1,0,Tech,Bachelor,Medium,Medium,Very High,Outstandingß,High,Good
245,38,No,Travel_Rarely,1380,Research & Development,9,Life Sciences,1,Female,75,1,Laboratory Technician,Single,2288,6319,1,Y,No,12,80,0,2,3,2,2,2,1,Tech,College,High,High,Very High,Excellent,High,Better
246,31,No,Travel_Rarely,140,Research & Development,12,Medical,1,Female,95,1,Research Scientist,Married,3929,6984,8,Y,Yes,23,80,1,7,0,4,2,0,2,Tech,Below College,High,High,Very High,Outstandingß,High,Better
247,34,No,Travel_Rarely,629,Research & Development,27,Medical,1,Female,95,1,Research Scientist,Single,2311,5711,2,Y,No,15,80,0,9,3,3,2,1,2,Tech,College,Very High,High,Medium,Excellent,Very High,Better
249,50,No,Travel_Rarely,328,Research & Development,1,Medical,1,Male,86,1,Laboratory Technician,Married,3690,3425,2,Y,No,15,80,1,5,2,3,2,0,2,Tech,Bachelor,High,Medium,High,Excellent,Very High,Good
252,33,No,Travel_Rarely,931,Research & Development,14,Medical,1,Female,72,1,Research Scientist,Married,2756,4673,1,Y,No,13,80,1,8,5,8,7,1,6,Tech,Bachelor,Very High,High,Medium,Excellent,Very High,Better
258,51,No,Travel_Rarely,313,Research & Development,3,Medical,1,Female,98,4,Healthcare Representative,Single,13734,7192,3,Y,No,18,80,0,21,6,7,7,1,0,Tech,Bachelor,Very High,High,Medium,Excellent,High,Better
260,27,No,Travel_Rarely,894,Research & Development,9,Medical,1,Female,99,1,Research Scientist,Single,2279,11781,1,Y,No,16,80,0,7,2,7,7,0,3,Tech,Bachelor,Very High,High,Medium,Excellent,Very High,Good
262,43,No,Non-Travel,1344,Research & Development,7,Medical,1,Male,37,1,Research Scientist,Divorced,2089,5228,4,Y,No,14,80,3,7,3,5,4,2,2,Tech,Bachelor,Very High,Very High,Very High,Excellent,Very High,Bestß
267,37,No,Travel_Rarely,290,Research & Development,21,Life Sciences,1,Male,65,1,Research Scientist,Married,3564,22977,1,Y,Yes,12,80,1,8,3,8,7,1,7,Tech,Bachelor,Medium,Very High,Low,Excellent,Low,Good
269,35,No,Travel_Frequently,138,Research & Development,2,Medical,1,Female,37,2,Laboratory Technician,Single,4425,15986,5,Y,No,11,80,0,10,5,6,2,1,2,Tech,Bachelor,Medium,High,Medium,Excellent,Very High,Better
277,34,No,Travel_Frequently,878,Research & Development,10,Medical,1,Male,43,1,Research Scientist,Divorced,3815,5972,1,Y,Yes,17,80,1,5,4,5,3,2,0,Tech,Master,Very High,High,High,Excellent,Very High,Bestß
281,40,No,Travel_Rarely,905,Research & Development,19,Medical,1,Male,99,2,Laboratory Technician,Married,2741,16523,8,Y,Yes,15,80,1,15,2,7,2,3,7,Tech,College,High,High,Very High,Excellent,High,Bestß
282,38,Yes,Travel_Rarely,1180,Research & Development,29,Medical,1,Male,70,2,Healthcare Representative,Married,6673,11354,7,Y,Yes,19,80,0,17,2,1,0,0,0,Tech,Below College,Medium,High,Low,Excellent,Medium,Better
284,22,No,Travel_Rarely,1136,Research & Development,5,Life Sciences,1,Male,60,1,Research Scientist,Divorced,2328,12392,1,Y,Yes,16,80,1,4,2,4,2,2,2,Tech,Bachelor,Very High,Very High,Medium,Excellent,Low,Good
286,36,No,Travel_Frequently,635,Research & Development,18,Medical,1,Female,73,1,Laboratory Technician,Single,2153,7703,1,Y,No,13,80,0,8,2,8,1,1,7,Tech,Below College,Medium,High,Very High,Excellent,Low,Better
287,40,No,Non-Travel,1151,Research & Development,9,Life Sciences,1,Male,63,2,Healthcare Representative,Married,4876,14242,9,Y,No,14,80,1,5,5,3,2,0,2,Tech,Doctor,Very High,Medium,Very High,Excellent,Very High,Bad
288,46,No,Travel_Rarely,644,Research & Development,1,Medical,1,Male,97,3,Healthcare Representative,Divorced,9396,12368,7,Y,No,16,80,1,17,3,4,2,0,3,Tech,Master,Very High,High,Low,Excellent,High,Better
297,30,Yes,Travel_Rarely,1005,Research & Development,3,Technical Degree,1,Female,88,1,Research Scientist,Single,2657,8556,5,Y,Yes,11,80,0,8,5,5,2,0,4,Tech,Bachelor,Very High,High,Low,Excellent,High,Better
300,29,Yes,Travel_Rarely,992,Research & Development,1,Technical Degree,1,Male,85,1,Research Scientist,Single,2058,19757,0,Y,No,14,80,0,7,1,6,2,1,5,Tech,Bachelor,High,High,High,Excellent,Very High,Good
304,36,No,Travel_Rarely,1396,Research & Development,5,Life Sciences,1,Male,62,2,Laboratory Technician,Single,5914,9945,8,Y,No,16,80,0,16,3,13,11,3,7,Tech,College,Very High,High,Medium,Excellent,Very High,Bestß
305,33,No,Travel_Rarely,147,Research & Development,4,Medical,1,Female,47,1,Research Scientist,Married,2622,13248,6,Y,No,21,80,0,7,3,3,2,1,1,Tech,Master,High,Medium,Medium,Outstandingß,Very High,Better
309,59,No,Travel_Rarely,142,Research & Development,3,Life Sciences,1,Male,70,1,Research Scientist,Married,2177,8456,3,Y,No,17,80,1,7,6,1,0,0,0,Tech,Bachelor,High,Medium,Very High,Excellent,Low,Better
315,29,Yes,Travel_Rarely,896,Research & Development,18,Medical,1,Male,86,1,Research Scientist,Single,2389,14961,1,Y,Yes,13,80,0,4,3,4,3,0,1,Tech,Below College,High,Medium,Very High,Excellent,High,Good
