EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
243,19,Yes,Travel_Rarely,303,Research & Development,2,Bachelor,Life Sciences,Medium,Male,47,Medium,1,Laboratory Technician,Very High,Single,1102,9241,1,No,22,Outstanding,3,0,1,3,Good,1,0,1,0
245,38,No,Travel_Rarely,1380,Research & Development,9,College,Life Sciences,High,Female,75,High,1,Laboratory Technician,Very High,Single,2288,6319,1,No,12,Excellent,3,0,2,3,Better,2,2,2,1
246,31,No,Travel_Rarely,140,Research & Development,12,Below College,Medical,High,Female,95,High,1,Research Scientist,Very High,Married,3929,6984,8,Yes,23,Outstanding,3,1,7,0,Better,4,2,0,2
247,34,No,Travel_Rarely,629,Research & Development,27,College,Medical,Very High,Female,95,High,1,Research Scientist,Medium,Single,2311,5711,2,No,15,Excellent,4,0,9,3,Better,3,2,1,2
249,50,No,Travel_Rarely,328,Research & Development,1,Bachelor,Medical,High,Male,86,Medium,1,Laboratory Technician,High,Married,3690,3425,2,No,15,Excellent,4,1,5,2,Good,3,2,0,2
252,33,No,Travel_Rarely,931,Research & Development,14,Bachelor,Medical,Very High,Female,72,High,1,Research Scientist,Medium,Married,2756,4673,1,No,13,Excellent,4,1,8,5,Better,8,7,1,6
258,51,No,Travel_Rarely,313,Research & Development,3,Bachelor,Medical,Very High,Female,98,High,4,Healthcare Representative,Medium,Single,13734,7192,3,No,18,Excellent,3,0,21,6,Better,7,7,1,0
260,27,No,Travel_Rarely,894,Research & Development,9,Bachelor,Medical,Very High,Female,99,High,1,Research Scientist,Medium,Single,2279,11781,1,No,16,Excellent,4,0,7,2,Good,7,7,0,3
262,43,No,Non-Travel,1344,Research & Development,7,Bachelor,Medical,Very High,Male,37,Very High,1,Research Scientist,Very High,Divorced,2089,5228,4,No,14,Excellent,4,3,7,3,Best,5,4,2,2
267,37,No,Travel_Rarely,290,Research & Development,21,Bachelor,Life Sciences,Medium,Male,65,Very High,1,Research Scientist,Low,Married,3564,22977,1,Yes,12,Excellent,1,1,8,3,Good,8,7,1,7
269,35,No,Travel_Frequently,138,Research & Development,2,Bachelor,Medical,Medium,Female,37,High,2,Laboratory Technician,Medium,Single,4425,15986,5,No,11,Excellent,4,0,10,5,Better,6,2,1,2
277,34,No,Travel_Frequently,878,Research & Development,10,Master,Medical,Very High,Male,43,High,1,Research Scientist,High,Divorced,3815,5972,1,Yes,17,Excellent,4,1,5,4,Best,5,3,2,0
281,40,No,Travel_Rarely,905,Research & Development,19,College,Medical,High,Male,99,High,2,Laboratory Technician,Very High,Married,2741,16523,8,Yes,15,Excellent,3,1,15,2,Best,7,2,3,7
282,38,Yes,Travel_Rarely,1180,Research & Development,29,Below College,Medical,Medium,Male,70,High,2,Healthcare Representative,Low,Married,6673,11354,7,Yes,19,Excellent,2,0,17,2,Better,1,0,0,0
284,22,No,Travel_Rarely,1136,Research & Development,5,Bachelor,Life Sciences,Very High,Male,60,Very High,1,Research Scientist,Medium,Divorced,2328,12392,1,Yes,16,Excellent,1,1,4,2,Good,4,2,2,2
286,36,No,Travel_Frequently,635,Research & Development,18,Below College,Medical,Medium,Female,73,High,1,Laboratory Technician,Very High,Single,2153,7703,1,No,13,Excellent,1,0,8,2,Better,8,1,1,7
287,40,No,Non-Travel,1151,Research & Development,9,Doctor,Life Sciences,Very High,Male,63,Medium,2,Healthcare Representative,Very High,Married,4876,14242,9,No,14,Excellent,4,1,5,5,Bad,3,2,0,2
288,46,No,Travel_Rarely,644,Research & Development,1,Master,Medical,Very High,Male,97,High,3,Healthcare Representative,Low,Divorced,9396,12368,7,No,16,Excellent,3,1,17,3,Better,4,2,0,3
297,30,Yes,Travel_Rarely,1005,Research & Development,3,Bachelor,Technical Degree,Very High,Female,88,High,1,Research Scientist,Low,Single,2657,8556,5,Yes,11,Excellent,3,0,8,5,Better,5,2,0,4
300,29,Yes,Travel_Rarely,992,Research & Development,1,Bachelor,Technical Degree,High,Male,85,High,1,Research Scientist,High,Single,2058,19757,0,No,14,Excellent,4,0,7,1,Good,6,2,1,5
304,36,No,Travel_Rarely,1396,Research & Development,5,College,Life Sciences,Very High,Male,62,High,2,Laboratory Technician,Medium,Single,5914,9945,8,No,16,Excellent,4,0,16,3,Best,13,11,3,7
305,33,No,Travel_Rarely,147,Research & Development,4,Master,Medical,High,Female,47,Medium,1,Research Scientist,Medium,Married,2622,13248,6,No,21,Outstanding,4,0,7,3,Better,3,2,1,1
309,59,No,Travel_Rarely,142,Research & Development,3,Bachelor,Life Sciences,High,Male,70,Medium,1,Research Scientist,Very High,Married,2177,8456,3,No,17,Excellent,1,1,7,6,Better,1,0,0,0
315,29,Yes,Travel_Rarely,896,Research & Development,18,Below College,Medical,High,Male,86,Medium,1,Research Scientist,Very High,Single,2389,14961,1,Yes,13,Excellent,3,0,4,3,Good,4,3,0,1
316,52,No,Travel_Rarely,1323,Research & Development,2,Bachelor,Life Sciences,High,Female,89,Medium,1,Laboratory Technician,Very High,Single,3212,3300,7,No,15,Excellent,2,0,6,3,Good,2,2,2,2
325,33,Yes,Travel_Rarely,813,Research & Development,14,Bachelor,Medical,High,Male,58,High,1,Laboratory Technician,Very High,Married,2436,22149,5,Yes,13,Excellent,3,1,8,2,Bad,5,4,0,4
328,33,Yes,Travel_Rarely,465,Research & Development,2,College,Life Sciences,Low,Female,39,High,1,Laboratory Technician,Low,Married,2707,21509,7,No,20,Outstanding,1,0,13,3,Best,9,7,1,7
331,32,Yes,Travel_Rarely,515,Research & Development,1,Bachelor,Life Sciences,Very High,Male,62,Medium,1,Laboratory Technician,High,Single,3730,9571,0,Yes,14,Excellent,4,0,4,2,Bad,3,2,1,2
332,39,No,Travel_Rarely,1431,Research & Development,1,Master,Medical,High,Female,96,High,1,Laboratory Technician,High,Divorced,2232,15417,7,No,14,Excellent,3,3,7,1,Better,3,2,1,2
334,41,No,Travel_Rarely,1411,Research & Development,19,College,Life Sciences,High,Male,36,High,2,Research Scientist,Low,Divorced,3072,19877,2,No,16,Excellent,1,2,17,2,Good,1,0,0,0
335,40,No,Travel_Rarely,1300,Research & Development,24,College,Technical Degree,Low,Male,62,High,2,Research Scientist,Very High,Divorced,3319,24447,1,No,17,Excellent,1,2,9,3,Better,9,8,4,7
338,33,No,Travel_Rarely,832,Research & Development,5,Master,Life Sciences,High,Female,63,Medium,1,Research Scientist,Very High,Married,2911,14776,1,No,13,Excellent,3,1,2,2,Good,2,2,0,2
340,37,No,Travel_Rarely,1017,Research & Development,1,College,Medical,High,Female,83,Medium,1,Research Scientist,Low,Married,3920,18697,2,No,14,Excellent,1,1,17,2,Good,3,1,0,2
343,39,No,Travel_Frequently,505,Research & Development,2,Master,Technical Degree,High,Female,64,High,3,Healthcare Representative,High,Single,10938,6420,0,No,25,Outstanding,4,0,20,1,Better,19,6,11,8
346,29,No,Travel_Rarely,665,Research & Development,15,Bachelor,Life Sciences,High,Male,60,High,1,Research Scientist,Very High,Single,2340,22673,1,No,19,Excellent,1,0,6,1,Better,6,5,1,5
347,42,No,Travel_Rarely,916,Research & Development,17,College,Life Sciences,Very High,Female,82,Very High,2,Research Scientist,Low,Single,6545,23016,3,Yes,13,Excellent,3,0,10,1,Better,3,2,0,2
351,42,No,Travel_Rarely,269,Research & Development,2,Bachelor,Medical,Very High,Female,56,Medium,1,Laboratory Technician,Low,Divorced,2593,8007,0,Yes,11,Excellent,3,1,10,4,Better,9,6,7,8
353,51,No,Travel_Rarely,833,Research & Development,1,Bachelor,Life Sciences,High,Male,96,High,1,Research Scientist,Very High,Married,2723,23231,1,No,11,Excellent,2,0,1,0,Good,1,0,0,0
355,31,Yes,Travel_Frequently,307,Research & Development,29,College,Medical,High,Male,71,Medium,1,Laboratory Technician,Medium,Single,3479,11652,0,No,11,Excellent,2,0,6,2,Best,5,4,1,4
359,32,No,Travel_Frequently,1311,Research & Development,7,Bachelor,Life Sciences,Medium,Male,100,Very High,1,Laboratory Technician,Medium,Married,2794,26062,1,No,20,Outstanding,3,0,5,3,Bad,5,1,0,3
