EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,Gender,HourlyRate,JobLevel,JobRole,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,JobCategory,Education_Text,EnvironmentSat_Text,JobInvolvement_Text,JobSatisfaction_Text,PerformanceRating_Text,RelationshipSat_Text,WorkLifeBalance_Text
253,40,No,Travel_Rarely,989,Research & Development,4,Medical,1,Female,46,5,Manager,Married,19033,6499,1,Y,No,14,80,1,21,2,20,8,9,9,Leadership,Below College,Very High,High,High,Excellent,Medium,Better
254,55,No,Travel_Rarely,692,Research & Development,14,Medical,1,Male,61,5,Research Director,Single,18722,13339,8,Y,No,11,80,0,36,3,24,15,2,15,Leadership,Master,High,Very High,Medium,Excellent,Very High,Better
256,34,No,Travel_Frequently,1069,Research & Development,2,Life Sciences,1,Male,45,2,Manufacturing Director,Married,9547,14074,1,Y,No,17,80,0,10,2,10,9,1,9,Leadership,Below College,Very High,Medium,High,Excellent,High,Good
259,52,No,Travel_Rarely,699,Research & Development,1,Life Sciences,1,Male,65,5,Manager,Married,19999,5678,0,Y,No,14,80,1,34,5,33,18,11,9,Leadership,Master,High,Medium,High,Excellent,Low,Better
261,35,Yes,Travel_Rarely,556,Research & Development,23,Life Sciences,1,Male,50,2,Manufacturing Director,Married,5916,15497,3,Y,Yes,13,80,0,8,1,1,0,0,1,Leadership,College,Medium,Medium,High,Excellent,Low,Better
264,45,No,Non-Travel,1195,Research & Development,2,Medical,1,Male,65,4,Manager,Married,16792,20462,9,Y,No,23,80,1,22,1,20,8,11,8,Leadership,College,Low,Medium,Very High,Outstandingß,Very High,Better
270,42,No,Non-Travel,926,Research & Development,21,Medical,1,Female,36,2,Manufacturing Director,Divorced,5265,16439,2,Y,No,16,80,1,11,5,5,3,0,2,Leadership,College,High,High,High,Excellent,Medium,Better
271,38,No,Travel_Rarely,1261,Research & Development,2,Life Sciences,1,Male,88,2,Manufacturing Director,Married,6553,7259,9,Y,No,14,80,0,14,3,1,0,0,0,Leadership,Master,Very High,High,High,Excellent,Medium,Better
273,38,No,Travel_Rarely,1084,Research & Development,29,Technical Degree,1,Male,54,2,Manufacturing Director,Married,6261,4185,3,Y,No,18,80,1,9,3,7,7,1,7,Leadership,Bachelor,Very High,High,Very High,Excellent,Low,Bad
274,27,No,Travel_Frequently,472,Research & Development,1,Technical Degree,1,Male,60,2,Manufacturing Director,Married,4298,9679,5,Y,No,19,80,1,6,1,2,2,2,0,Leadership,Below College,High,Medium,Low,Excellent,High,Better
275,49,No,Non-Travel,1002,Research & Development,18,Life Sciences,1,Male,92,2,Manufacturing Director,Divorced,6804,23793,1,Y,Yes,15,80,2,7,0,7,7,1,7,Leadership,Master,Very High,High,Very High,Excellent,Low,Better
292,30,No,Non-Travel,829,Research & Development,1,Life Sciences,1,Male,88,3,Manufacturing Director,Single,8474,20925,1,Y,No,22,80,0,12,2,11,8,5,8,Leadership,Below College,High,Medium,High,Outstandingß,High,Better
296,51,No,Travel_Rarely,1469,Research & Development,8,Life Sciences,1,Male,81,3,Research Director,Married,12490,15736,5,Y,No,16,80,2,16,5,10,9,4,7,Leadership,Master,Medium,Medium,Medium,Excellent,Very High,Bad
298,41,No,Travel_Rarely,896,Sales,6,Life Sciences,1,Female,75,3,Manager,Single,13591,14674,3,Y,Yes,18,80,0,16,3,1,0,0,0,Leadership,Bachelor,Very High,High,Very High,Excellent,High,Better
306,37,No,Travel_Frequently,663,Research & Development,11,Other,1,Male,47,3,Research Director,Divorced,12185,10056,1,Y,Yes,14,80,3,10,1,10,8,0,7,Leadership,Bachelor,Medium,High,Very High,Excellent,High,Better
308,31,No,Non-Travel,979,Research & Development,1,Medical,1,Male,90,2,Manufacturing Director,Married,4345,4381,0,Y,No,12,80,1,6,2,5,4,1,4,Leadership,Master,High,Low,High,Excellent,Very High,Better
319,42,No,Travel_Rarely,532,Research & Development,4,Technical Degree,1,Male,58,5,Manager,Married,19232,4933,1,Y,No,11,80,0,22,3,22,17,11,15,Leadership,College,High,High,Very High,Excellent,Very High,Better
323,50,No,Travel_Rarely,854,Sales,1,Medical,1,Female,68,5,Manager,Divorced,19517,24118,3,Y,No,11,80,1,32,3,7,0,0,6,Leadership,Master,Very High,High,Very High,Excellent,High,Good
327,43,No,Travel_Rarely,1034,Sales,16,Marketing,1,Female,80,4,Manager,Married,16064,7744,5,Y,Yes,22,80,1,22,3,17,13,1,9,Leadership,Bachelor,Very High,High,Very High,Outstandingß,High,Better
329,52,No,Non-Travel,771,Sales,2,Life Sciences,1,Male,79,5,Manager,Single,19068,21030,1,Y,Yes,18,80,0,33,2,33,7,15,12,Leadership,Master,Low,Medium,High,Excellent,Very High,Bestß
336,45,No,Travel_Rarely,252,Research & Development,1,Other,1,Male,70,5,Manager,Married,19202,15970,0,Y,No,11,80,1,25,2,24,0,1,7,Leadership,Bachelor,High,Very High,Very High,Excellent,High,Better
337,31,No,Travel_Frequently,1327,Research & Development,3,Medical,1,Male,73,3,Research Director,Divorced,13675,13523,9,Y,No,12,80,1,9,3,2,2,2,2,Leadership,Master,Medium,High,High,Excellent,Low,Better
339,34,No,Travel_Rarely,470,Research & Development,2,Life Sciences,1,Male,84,2,Manufacturing Director,Married,5957,23687,6,Y,No,13,80,1,13,3,11,9,5,9,Leadership,Master,Very High,Medium,Low,Excellent,Medium,Better
341,45,No,Travel_Frequently,1199,Research & Development,7,Life Sciences,1,Male,77,2,Manufacturing Director,Married,6434,5118,4,Y,No,17,80,1,9,1,3,2,0,2,Leadership,Master,Low,Very High,High,Excellent,Very High,Better
342,37,Yes,Travel_Frequently,504,Research & Development,10,Medical,1,Male,61,3,Manufacturing Director,Divorced,10048,22573,6,Y,No,11,80,2,17,5,1,0,0,0,Leadership,Bachelor,Low,High,High,Excellent,Medium,Better
350,25,No,Travel_Rarely,685,Research & Development,1,Life Sciences,1,Female,62,2,Manufacturing Director,Married,4898,7505,0,Y,No,12,80,2,5,3,4,2,1,2,Leadership,Bachelor,Low,High,High,Excellent,Very High,Better
352,40,No,Travel_Rarely,1416,Research & Development,2,Medical,1,Male,49,5,Research Director,Divorced,19436,5949,0,Y,No,19,80,1,22,5,21,7,3,9,Leadership,College,Low,High,High,Excellent,Very High,Better
363,46,No,Travel_Rarely,488,Sales,2,Technical Degree,1,Female,75,4,Manager,Married,16872,14977,3,Y,Yes,12,80,1,28,2,7,7,7,7,Leadership,Bachelor,High,Low,Medium,Excellent,Medium,Good
374,55,No,Travel_Rarely,452,Research & Development,1,Medical,1,Male,81,5,Manager,Single,19045,18938,0,Y,Yes,14,80,0,37,2,36,10,4,13,Leadership,Bachelor,Very High,High,Low,Excellent,High,Better
376,47,Yes,Non-Travel,666,Research & Development,29,Life Sciences,1,Male,88,3,Manager,Married,11849,10268,1,Y,Yes,12,80,1,10,2,10,7,9,9,Leadership,Master,Low,High,Medium,Excellent,Very High,Good
380,37,No,Non-Travel,728,Research & Development,1,Medical,1,Female,80,3,Research Director,Divorced,13603,11677,2,Y,Yes,18,80,2,15,2,5,2,0,2,Leadership,Master,Low,High,Very High,Excellent,Low,Better
381,35,No,Travel_Rarely,1315,Research & Development,22,Life Sciences,1,Female,71,3,Manager,Divorced,11996,19100,7,Y,No,18,80,1,10,6,7,7,6,2,Leadership,Bachelor,Medium,Very High,Medium,Excellent,Medium,Good
384,26,No,Travel_Frequently,1479,Research & Development,1,Life Sciences,1,Female,84,2,Manufacturing Director,Divorced,6397,26767,1,Y,No,20,80,1,6,6,6,5,1,4,Leadership,Bachelor,High,High,Medium,Outstandingß,Low,Bad
385,50,No,Travel_Rarely,797,Research & Development,4,Life Sciences,1,Male,96,5,Research Director,Divorced,19144,15815,3,Y,No,14,80,2,28,4,10,4,1,6,Leadership,Below College,Low,High,Medium,Excellent,Low,Good
386,53,No,Travel_Rarely,1070,Research & Development,3,Medical,1,Male,45,4,Research Director,Married,17584,21016,3,Y,Yes,16,80,3,21,5,5,3,1,3,Leadership,Master,High,High,High,Excellent,Very High,Good
396,49,No,Travel_Frequently,636,Research & Development,10,Life Sciences,1,Female,35,5,Research Director,Single,18665,25594,9,Y,Yes,11,80,0,22,4,3,2,1,2,Leadership,Master,High,High,Low,Excellent,Very High,Better
408,51,No,Travel_Rarely,1302,Research & Development,2,Medical,1,Male,84,2,Manufacturing Director,Divorced,5482,16321,5,Y,No,18,80,1,13,3,4,1,1,2,Leadership,Bachelor,Very High,Low,Medium,Excellent,Very High,Better
410,41,No,Travel_Rarely,334,Sales,2,Life Sciences,1,Male,88,4,Manager,Single,16015,15896,1,Y,No,19,80,0,22,2,22,10,0,4,Leadership,Master,Very High,High,Medium,Excellent,Medium,Better
421,38,No,Travel_Rarely,849,Research & Development,25,Life Sciences,1,Female,81,3,Research Director,Married,12061,26707,3,Y,No,17,80,1,19,2,10,8,0,1,Leadership,College,Low,Medium,Medium,Excellent,High,Better
428,33,No,Travel_Frequently,553,Research & Development,5,Life Sciences,1,Female,74,3,Manager,Married,11878,23364,6,Y,No,11,80,2,12,2,10,6,8,8,Leadership,Master,Very High,High,Medium,Excellent,Medium,Better
429,39,No,Travel_Rarely,117,Research & Development,10,Medical,1,Male,99,4,Manager,Married,17068,5355,1,Y,Yes,14,80,0,21,3,21,9,11,10,Leadership,Below College,High,High,Low,Excellent,Very High,Better
442,31,No,Travel_Frequently,798,Research & Development,7,Life Sciences,1,Female,48,3,Manufacturing Director,Married,8943,14034,1,Y,No,24,80,1,10,2,10,9,8,9,Leadership,College,High,Medium,High,Outstandingß,Low,Better
444,39,No,Travel_Frequently,672,Research & Development,7,Medical,1,Male,54,5,Manager,Married,19272,21141,1,Y,No,15,80,1,21,2,21,9,13,3,Leadership,College,High,Medium,Very High,Excellent,Low,Better
447,47,No,Travel_Rarely,1482,Research & Development,5,Life Sciences,1,Male,42,5,Research Director,Married,18300,16375,4,Y,No,11,80,1,21,2,3,2,1,1,Leadership,Doctor,Very High,High,High,Excellent,Medium,Better
460,37,No,Travel_Rarely,1192,Research & Development,5,Medical,1,Male,61,2,Manufacturing Director,Divorced,6347,23177,7,Y,No,16,80,2,8,2,6,2,0,4,Leadership,College,Very High,High,Very High,Excellent,High,Good
461,38,No,Travel_Rarely,343,Research & Development,15,Life Sciences,1,Male,92,3,Research Director,Divorced,11510,15682,0,Y,Yes,14,80,1,12,3,11,10,2,9,Leadership,College,High,Medium,Very High,Excellent,Medium,Better
462,31,No,Travel_Rarely,1232,Research & Development,7,Medical,1,Female,39,3,Manufacturing Director,Single,7143,25713,1,Y,Yes,14,80,0,11,2,11,9,4,10,Leadership,Master,High,High,Very High,Excellent,High,Good
464,35,No,Travel_Rarely,1296,Research & Development,5,Technical Degree,1,Male,62,3,Manufacturing Director,Single,8095,18264,0,Y,No,13,80,0,17,5,16,6,0,13,Leadership,Master,High,High,Medium,Excellent,Very High,Better
466,41,No,Travel_Rarely,483,Research & Development,6,Medical,1,Male,95,2,Manufacturing Director,Single,6032,10110,6,Y,Yes,15,80,0,8,3,5,4,1,2,Leadership,Bachelor,Very High,Medium,Medium,Excellent,Very High,Better
468,42,No,Travel_Rarely,810,Research & Development,23,Life Sciences,1,Female,44,4,Research Director,Single,15992,15901,2,Y,No,14,80,0,16,2,1,0,0,0,Leadership,Doctor,Low,High,Very High,Excellent,Medium,Better
473,48,No,Travel_Rarely,530,Sales,29,Medical,1,Female,91,3,Manager,Married,12504,23978,3,Y,No,21,80,1,15,3,0,0,0,0,Leadership,Below College,Low,High,High,Outstandingß,Medium,Bad
487,46,No,Non-Travel,1144,Research & Development,7,Medical,1,Female,30,2,Manufacturing Director,Married,5258,16044,2,Y,No,14,80,0,7,2,1,0,0,0,Leadership,Master,High,High,High,Excellent,High,Bestß
505,55,No,Travel_Rarely,1311,Research & Development,2,Life Sciences,1,Female,97,4,Manager,Single,16659,23258,2,Y,Yes,13,80,0,30,2,5,4,1,2,Leadership,Bachelor,High,High,Very High,Excellent,High,Better
518,37,No,Travel_Rarely,1305,Research & Development,10,Life Sciences,1,Male,49,2,Manufacturing Director,Single,4197,21123,2,Y,Yes,12,80,0,18,2,1,0,0,1,Leadership,Master,High,High,Medium,Excellent,Very High,Good
520,43,No,Travel_Rarely,982,Research & Development,12,Life Sciences,1,Male,59,4,Research Director,Divorced,14336,4345,1,Y,No,11,80,1,25,3,25,10,3,9,Leadership,Bachelor,Low,Medium,Medium,Excellent,High,Better
522,54,No,Travel_Rarely,821,Research & Development,5,Medical,1,Male,86,5,Research Director,Married,19406,8509,4,Y,No,11,80,1,24,4,4,2,1,2,Leadership,College,Low,High,Low,Excellent,High,Good
524,31,No,Travel_Rarely,480,Research & Development,7,Medical,1,Female,31,2,Manufacturing Director,Married,4306,4156,1,Y,No,12,80,1,13,5,13,10,3,12,Leadership,College,Medium,High,Low,Excellent,Medium,Bad
531,39,No,Travel_Frequently,1218,Research & Development,1,Life Sciences,1,Male,52,5,Manager,Divorced,19197,8213,1,Y,Yes,14,80,1,21,3,21,8,1,6,Leadership,Below College,Medium,High,High,Excellent,High,Better
543,52,No,Travel_Rarely,319,Research & Development,3,Medical,1,Male,39,3,Manufacturing Director,Married,7969,19609,2,Y,Yes,14,80,0,28,4,5,4,0,4,Leadership,Bachelor,Very High,Medium,High,Excellent,High,Better
546,52,No,Travel_Rarely,1490,Research & Development,4,Life Sciences,1,Female,30,4,Manager,Married,16555,10310,2,Y,No,13,80,0,31,2,5,2,1,4,Leadership,College,Very High,High,Very High,Excellent,Very High,Bad
548,30,No,Travel_Rarely,317,Research & Development,2,Life Sciences,1,Female,43,2,Manufacturing Director,Single,6091,24793,2,Y,No,20,80,0,11,2,5,4,0,2,Leadership,Bachelor,High,Low,Very High,Outstandingß,High,Better
549,60,No,Travel_Rarely,422,Research & Development,7,Life Sciences,1,Female,41,5,Manager,Married,19566,3854,5,Y,No,11,80,0,33,5,29,8,11,10,Leadership,Bachelor,Low,High,Low,Excellent,Very High,Bad
550,46,No,Travel_Rarely,1485,Research & Development,18,Medical,1,Female,87,2,Manufacturing Director,Divorced,4810,26314,2,Y,No,14,80,1,19,5,10,7,0,8,Leadership,Bachelor,High,High,High,Excellent,High,Good
558,40,No,Travel_Rarely,1398,Sales,2,Life Sciences,1,Female,79,5,Manager,Married,18041,13022,0,Y,No,14,80,0,21,2,20,15,1,12,Leadership,Master,High,High,High,Excellent,Very High,Better
564,29,No,Travel_Rarely,986,Research & Development,3,Medical,1,Male,93,3,Research Director,Married,11935,21526,1,Y,No,18,80,0,10,2,10,2,0,7,Leadership,Master,Medium,Medium,High,Excellent,High,Better
568,57,No,Travel_Rarely,210,Sales,29,Marketing,1,Male,56,4,Manager,Divorced,14118,22102,3,Y,No,12,80,1,32,3,1,0,0,0,Leadership,Bachelor,Low,Medium,Very High,Excellent,High,Good
569,50,No,Travel_Rarely,1099,Research & Development,29,Life Sciences,1,Male,88,4,Manager,Married,17046,9314,0,Y,No,15,80,1,28,2,27,10,15,7,Leadership,Master,Medium,Medium,High,Excellent,Medium,Better
574,47,No,Travel_Rarely,983,Research & Development,2,Medical,1,Female,65,2,Manufacturing Director,Divorced,5070,7389,5,Y,No,13,80,3,20,2,5,0,0,4,Leadership,College,Low,High,Very High,Excellent,High,Better
575,46,No,Travel_Rarely,1009,Research & Development,2,Life Sciences,1,Male,51,4,Research Director,Married,17861,2288,6,Y,No,13,80,0,26,2,3,2,0,1,Leadership,Bachelor,Low,High,High,Excellent,High,Bad
581,31,No,Travel_Rarely,1274,Research & Development,9,Life Sciences,1,Male,33,3,Manufacturing Director,Divorced,10648,14394,1,Y,No,25,80,1,13,6,13,8,0,8,Leadership,Below College,High,High,Medium,Outstandingß,Very High,Bestß
582,33,Yes,Travel_Rarely,1277,Research & Development,15,Medical,1,Male,56,3,Manager,Married,13610,24619,7,Y,Yes,12,80,0,15,2,7,6,7,7,Leadership,Below College,Medium,High,High,Excellent,Very High,Bestß
597,55,No,Travel_Rarely,1117,Sales,18,Life Sciences,1,Female,83,4,Manager,Single,16835,9873,3,Y,No,23,80,0,37,2,10,9,7,7,Leadership,Doctor,Low,High,Medium,Outstandingß,Very High,Better
601,40,No,Travel_Rarely,302,Research & Development,6,Life Sciences,1,Female,75,4,Manufacturing Director,Single,13237,20364,7,Y,No,15,80,0,22,3,20,6,5,13,Leadership,Bachelor,Medium,High,High,Excellent,High,Better
605,42,No,Travel_Rarely,319,Research & Development,24,Medical,1,Male,56,3,Manufacturing Director,Married,7406,6950,1,Y,Yes,21,80,1,10,5,10,9,5,8,Leadership,Bachelor,Very High,High,Low,Outstandingß,Very High,Good
611,29,No,Travel_Rarely,232,Research & Development,19,Technical Degree,1,Male,34,2,Manufacturing Director,Divorced,4262,22645,4,Y,No,12,80,2,8,2,3,2,1,2,Leadership,Bachelor,Very High,High,Very High,Excellent,Medium,Bestß
612,33,No,Travel_Rarely,922,Research & Development,1,Medical,1,Female,95,4,Research Director,Divorced,16184,22578,4,Y,No,19,80,1,10,2,6,1,0,5,Leadership,Doctor,Low,Very High,High,Excellent,High,Better
613,31,No,Travel_Rarely,688,Sales,7,Life Sciences,1,Male,44,3,Manager,Divorced,11557,25291,9,Y,No,21,80,1,10,3,5,4,0,1,Leadership,Bachelor,High,Medium,Very High,Outstandingß,High,Good
623,37,No,Travel_Rarely,799,Research & Development,1,Technical Degree,1,Female,59,3,Manufacturing Director,Single,7491,23848,4,Y,No,17,80,0,12,3,6,5,1,2,Leadership,Bachelor,Medium,High,Very High,Excellent,Very High,Bestß
625,41,No,Travel_Rarely,1276,Sales,2,Life Sciences,1,Female,91,4,Manager,Married,16595,5626,7,Y,No,16,80,1,22,2,18,16,11,8,Leadership,Doctor,Medium,High,Low,Excellent,Medium,Better
635,37,No,Travel_Rarely,446,Research & Development,1,Life Sciences,1,Female,65,2,Manufacturing Director,Married,6447,15701,6,Y,No,12,80,1,8,2,6,5,4,3,Leadership,Master,Medium,High,Medium,Excellent,Medium,Good
638,49,No,Travel_Rarely,1245,Research & Development,18,Life Sciences,1,Male,58,5,Research Director,Divorced,19502,2125,1,Y,Yes,17,80,1,31,5,31,9,0,9,Leadership,Master,Very High,Medium,High,Excellent,High,Better
644,50,No,Travel_Frequently,1246,Human Resources,3,Medical,1,Male,99,5,Manager,Married,18200,7999,1,Y,No,11,80,1,32,2,32,5,10,7,Leadership,Bachelor,Low,High,Medium,Excellent,High,Better
661,43,No,Travel_Rarely,782,Research & Development,6,Other,1,Male,50,4,Research Director,Divorced,16627,2671,4,Y,Yes,14,80,1,21,3,1,0,0,0,Leadership,Master,Medium,Medium,Very High,Excellent,High,Good
664,48,No,Travel_Rarely,1236,Research & Development,1,Life Sciences,1,Female,40,4,Manager,Married,15402,17997,7,Y,No,11,80,1,21,3,3,2,0,2,Leadership,Master,Very High,Medium,Low,Excellent,Low,Bad
671,44,No,Travel_Rarely,1315,Research & Development,3,Other,1,Male,35,5,Manager,Married,19513,9358,4,Y,Yes,12,80,1,26,2,2,2,0,1,Leadership,Master,Very High,High,Very High,Excellent,Low,Bestß
689,37,No,Travel_Rarely,482,Research & Development,3,Other,1,Male,36,3,Manufacturing Director,Married,9434,9606,1,Y,No,15,80,1,10,2,10,7,7,8,Leadership,Bachelor,High,High,High,Excellent,High,Better
