EmployeeNumber,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritialStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
152,37,No,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,High,Male,87,High,3,Sales Executive,Very High,Single,7428,14506,2,No,12,Excellent,1,0,12,3,Better,5,3,1,3
154,36,No,Travel_Frequently,1467,Sales,11,College,Technical Degree,Medium,Female,92,High,3,Sales Executive,Very High,Married,9738,22952,0,No,14,Excellent,3,1,10,6,Better,9,7,2,8
160,33,No,Non-Travel,750,Sales,22,College,Marketing,High,Male,95,High,2,Sales Executive,Medium,Married,6146,15480,0,No,13,Excellent,1,1,8,2,Best,7,7,0,7
163,31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,Medium,Male,76,Low,2,Sales Executive,High,Married,6172,20739,4,Yes,18,Excellent,2,0,12,3,Good,7,7,7,7
167,19,Yes,Travel_Rarely,528,Sales,22,Below College,Marketing,Very High,Male,50,High,1,Sales Representative,High,Single,1675,26820,1,Yes,19,Excellent,4,0,0,2,Good,0,0,0,0
174,50,No,Travel_Frequently,809,Sales,12,Bachelor,Marketing,High,Female,77,High,3,Sales Executive,Very High,Single,9208,6645,4,No,11,Excellent,4,0,16,3,Better,2,2,2,1
175,31,Yes,Travel_Rarely,542,Sales,20,Bachelor,Life Sciences,Medium,Female,71,Low,2,Sales Executive,High,Married,4559,24788,3,Yes,11,Excellent,3,1,4,2,Better,2,2,2,2
176,41,No,Travel_Rarely,802,Sales,9,Below College,Life Sciences,High,Male,96,High,3,Sales Executive,High,Divorced,8189,21196,3,Yes,13,Excellent,3,1,12,2,Better,9,7,0,7
177,26,No,Travel_Rarely,1355,Human Resources,25,Below College,Life Sciences,High,Female,61,High,1,Human Resources,High,Married,2942,8916,1,No,23,Outstanding,4,1,8,3,Better,8,7,5,7
182,39,No,Travel_Rarely,1329,Sales,4,Master,Life Sciences,Very High,Female,47,Medium,2,Sales Executive,High,Married,5902,14590,4,No,14,Excellent,3,1,17,1,Best,15,11,5,9
183,25,No,Travel_Rarely,959,Sales,28,Bachelor,Life Sciences,Low,Male,41,Medium,2,Sales Executive,High,Married,8639,24835,2,No,18,Excellent,4,0,6,3,Better,2,2,2,2
184,30,No,Travel_Rarely,1240,Human Resources,9,Bachelor,Human Resources,High,Male,48,High,2,Human Resources,Very High,Married,6347,13982,0,Yes,19,Excellent,4,0,12,2,Bad,11,9,4,7
195,32,No,Travel_Frequently,689,Sales,9,College,Medical,Very High,Male,35,Low,2,Sales Executive,Very High,Divorced,4668,22812,0,No,17,Excellent,4,3,9,2,Best,8,7,0,7
204,35,No,Travel_Rarely,662,Sales,1,Doctor,Marketing,High,Male,94,High,3,Sales Executive,Medium,Married,7295,11439,1,No,13,Excellent,1,2,10,3,Better,10,8,0,6
205,53,No,Travel_Rarely,1436,Sales,6,College,Marketing,Medium,Male,34,High,2,Sales Representative,High,Married,2306,16047,2,Yes,20,Outstanding,4,1,13,3,Bad,7,7,4,5
207,32,No,Travel_Frequently,967,Sales,8,Bachelor,Marketing,Medium,Female,43,High,3,Sales Executive,Very High,Single,8998,15589,1,No,14,Excellent,4,0,9,2,Better,9,8,3,7
215,40,No,Travel_Rarely,630,Sales,4,Master,Marketing,High,Male,67,Medium,3,Sales Executive,Very High,Married,10855,8552,7,No,11,Excellent,1,1,15,2,Good,12,11,2,11
216,34,No,Travel_Frequently,303,Sales,2,Master,Marketing,High,Female,75,High,1,Sales Representative,High,Married,2231,11314,6,No,18,Excellent,4,1,6,3,Better,4,3,1,2
228,30,No,Travel_Rarely,1339,Sales,5,Bachelor,Life Sciences,Medium,Female,41,High,3,Sales Executive,Very High,Married,9419,8053,2,No,12,Excellent,3,1,12,2,Better,10,9,7,4
230,38,No,Travel_Rarely,702,Sales,1,Master,Life Sciences,Low,Female,59,Medium,2,Sales Executive,Very High,Single,8686,12930,4,No,22,Outstanding,3,0,12,2,Best,8,3,0,7
235,19,Yes,Travel_Frequently,602,Sales,1,Below College,Technical Degree,High,Female,100,Low,1,Sales Representative,Low,Single,2325,20989,0,No,21,Outstanding,1,0,1,5,Best,0,0,0,0
240,45,No,Travel_Rarely,1268,Sales,4,College,Life Sciences,High,Female,30,High,2,Sales Executive,Low,Divorced,5006,6319,4,Yes,11,Excellent,1,1,9,3,Best,5,4,0,3
244,46,No,Travel_Rarely,526,Sales,1,College,Marketing,Medium,Female,92,High,3,Sales Executive,Low,Divorced,10453,2137,1,No,25,Outstanding,3,3,24,2,Better,24,13,15,7
248,41,Yes,Travel_Rarely,1356,Sales,20,College,Marketing,Medium,Female,70,High,1,Sales Representative,Medium,Single,3140,21728,1,Yes,22,Outstanding,4,0,4,5,Good,4,3,0,2
283,29,Yes,Travel_Rarely,121,Sales,27,Bachelor,Marketing,Medium,Female,35,High,3,Sales Executive,Very High,Married,7639,24525,1,No,22,Outstanding,4,3,10,3,Good,10,4,1,9
291,32,Yes,Travel_Rarely,1045,Sales,4,Master,Medical,Very High,Male,32,Low,3,Sales Executive,Very High,Married,10400,25812,1,No,11,Excellent,3,0,14,2,Good,14,8,9,8
293,27,No,Travel_Frequently,1242,Sales,20,Bachelor,Life Sciences,Very High,Female,90,High,2,Sales Executive,High,Single,9981,12916,1,No,14,Excellent,4,0,7,2,Better,7,7,0,7
299,30,Yes,Travel_Frequently,334,Sales,26,Master,Marketing,High,Female,52,Medium,2,Sales Executive,Low,Single,6696,22967,5,No,15,Excellent,3,0,9,5,Good,6,3,0,1
302,45,No,Non-Travel,1052,Sales,6,Bachelor,Medical,Very High,Female,57,Medium,3,Sales Executive,Very High,Single,8865,16840,6,No,12,Excellent,4,0,23,2,Better,19,7,12,8
303,54,No,Travel_Rarely,1147,Sales,3,Bachelor,Marketing,Very High,Female,52,High,2,Sales Executive,Low,Married,5940,17011,2,No,14,Excellent,4,1,16,4,Better,6,2,0,5
307,38,No,Travel_Rarely,119,Sales,3,Bachelor,Life Sciences,Low,Male,76,High,3,Sales Executive,High,Divorced,10609,9647,0,No,12,Excellent,3,2,17,6,Good,16,10,5,13
311,37,No,Travel_Frequently,319,Sales,4,Master,Marketing,Low,Male,41,High,1,Sales Representative,Very High,Divorced,2793,2539,4,No,17,Excellent,3,1,13,2,Better,9,8,5,8
312,29,No,Travel_Frequently,1413,Sales,1,Below College,Medical,Medium,Female,42,High,3,Sales Executive,Very High,Married,7918,6599,1,No,14,Excellent,4,1,11,5,Better,11,10,4,1
314,35,No,Travel_Frequently,944,Sales,1,Bachelor,Marketing,High,Female,92,High,3,Sales Executive,High,Single,8789,9096,1,No,14,Excellent,1,0,10,3,Best,10,7,0,8
321,59,No,Travel_Rarely,818,Human Resources,6,College,Medical,Medium,Male,52,High,1,Human Resources,High,Married,2267,25657,8,No,17,Excellent,4,0,7,2,Good,2,2,2,2
330,32,No,Travel_Rarely,1401,Sales,4,College,Life Sciences,High,Female,56,High,1,Sales Representative,Medium,Married,3931,20990,2,No,11,Excellent,1,1,6,5,Better,4,3,1,2
333,32,No,Non-Travel,976,Sales,26,Master,Marketing,High,Male,100,High,2,Sales Executive,Very High,Married,4465,12069,0,No,18,Excellent,1,0,4,2,Better,3,2,2,2
349,29,No,Travel_Rarely,1247,Sales,20,College,Marketing,Very High,Male,45,High,2,Sales Executive,Very High,Divorced,6931,10732,2,No,14,Excellent,4,1,10,2,Better,3,2,0,2
361,38,No,Non-Travel,1327,Sales,2,College,Life Sciences,Very High,Male,39,Medium,2,Sales Executive,Very High,Married,5249,19682,3,No,18,Excellent,4,1,13,0,Better,8,7,7,5
366,29,No,Travel_Rarely,1210,Sales,2,Bachelor,Medical,Low,Male,78,Medium,2,Sales Executive,Medium,Married,6644,3687,2,No,19,Excellent,2,2,10,2,Better,0,0,0,0
378,37,No,Travel_Rarely,228,Sales,6,Master,Medical,High,Male,98,High,2,Sales Executive,Very High,Married,6502,22825,4,No,14,Excellent,2,1,7,5,Best,5,4,0,1
382,38,No,Travel_Rarely,322,Sales,7,College,Medical,Low,Female,44,Very High,2,Sales Executive,Low,Divorced,5605,19191,1,Yes,24,Outstanding,3,1,8,3,Better,8,0,7,7
387,42,No,Travel_Rarely,635,Sales,1,Below College,Life Sciences,Medium,Male,99,High,2,Sales Executive,High,Married,4907,24532,1,No,25,Outstanding,3,0,20,3,Better,20,16,11,6
388,29,No,Travel_Frequently,442,Sales,2,College,Life Sciences,Medium,Male,44,High,2,Sales Executive,Very High,Single,4554,20260,1,No,18,Excellent,1,0,10,3,Good,10,7,0,9
399,31,No,Travel_Frequently,444,Sales,5,Bachelor,Marketing,Very High,Female,84,High,1,Sales Representative,Medium,Divorced,2789,3909,1,No,11,Excellent,3,1,2,5,Good,2,2,2,2
401,26,Yes,Travel_Rarely,950,Sales,4,Master,Marketing,Very High,Male,48,Medium,2,Sales Executive,Very High,Single,5828,8450,1,Yes,12,Excellent,2,0,8,0,Better,8,7,7,4
404,42,No,Travel_Frequently,555,Sales,26,Bachelor,Marketing,High,Female,77,High,4,Sales Executive,Medium,Married,13525,14864,5,No,14,Excellent,4,1,23,2,Best,20,4,4,8
406,35,No,Travel_Rarely,1232,Sales,16,Bachelor,Marketing,High,Male,96,High,3,Sales Executive,Medium,Married,8020,5100,0,No,15,Excellent,3,2,12,3,Good,11,9,6,9
411,18,No,Travel_Rarely,812,Sales,10,Bachelor,Medical,Very High,Female,69,Medium,1,Sales Representative,High,Single,1200,9724,1,No,12,Excellent,1,0,0,2,Better,0,0,0,0
416,31,No,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,Medium,Male,100,Very High,2,Sales Executive,Very High,Married,6929,12241,4,No,11,Excellent,2,1,10,3,Good,8,7,7,7
420,32,No,Travel_Rarely,906,Sales,7,Bachelor,Life Sciences,Very High,Male,91,Medium,2,Sales Executive,High,Married,5484,16985,1,No,14,Excellent,3,1,13,3,Good,13,8,4,8
424,31,No,Travel_Rarely,106,Human Resources,2,Bachelor,Human Resources,Low,Male,62,Medium,2,Human Resources,Low,Married,6410,17822,3,No,12,Excellent,4,0,9,1,Better,2,2,1,0
436,32,No,Travel_Rarely,588,Sales,8,College,Technical Degree,High,Female,65,Medium,2,Sales Executive,Medium,Married,5228,24624,1,Yes,11,Excellent,4,0,13,2,Better,13,12,11,9
437,27,No,Travel_Rarely,1377,Sales,2,Bachelor,Life Sciences,Very High,Male,74,High,2,Sales Executive,High,Single,4478,5242,1,Yes,11,Excellent,1,0,5,3,Better,5,4,0,4
438,31,No,Travel_Rarely,691,Sales,7,Bachelor,Marketing,Very High,Male,73,High,2,Sales Executive,Very High,Divorced,7547,7143,4,No,12,Excellent,4,3,13,3,Better,7,7,1,7
445,39,Yes,Travel_Rarely,1162,Sales,3,College,Medical,Very High,Female,41,High,2,Sales Executive,High,Married,5238,17778,4,Yes,18,Excellent,1,0,12,3,Good,1,0,0,0
446,33,No,Travel_Frequently,508,Sales,10,Bachelor,Marketing,Medium,Male,46,Medium,2,Sales Executive,Very High,Single,4682,4317,3,No,14,Excellent,3,0,9,6,Good,7,7,0,1
449,27,No,Non-Travel,210,Sales,1,Below College,Marketing,High,Male,73,High,2,Sales Executive,Medium,Married,6349,22107,0,Yes,13,Excellent,4,1,6,0,Better,5,4,1,4
453,40,No,Travel_Rarely,1124,Sales,1,College,Medical,Medium,Male,57,Low,2,Sales Executive,Very High,Married,7457,13273,2,Yes,22,Outstanding,3,3,6,2,Good,4,3,0,2
456,30,No,Travel_Rarely,570,Sales,5,Bachelor,Marketing,Very High,Female,30,Medium,2,Sales Executive,High,Divorced,6118,5431,1,No,13,Excellent,3,3,10,2,Better,10,9,1,2
458,27,No,Travel_Rarely,1130,Sales,8,Master,Marketing,Medium,Female,56,High,2,Sales Executive,Medium,Married,6214,3415,1,No,18,Excellent,1,1,8,3,Better,8,7,0,7
463,29,No,Travel_Rarely,144,Sales,10,Below College,Marketing,Very High,Female,39,Medium,2,Sales Executive,Medium,Divorced,8268,11866,1,Yes,14,Excellent,1,2,7,2,Better,7,7,1,7
467,47,No,Travel_Frequently,1309,Sales,4,Below College,Medical,Medium,Male,99,High,2,Sales Representative,High,Single,2976,25751,3,No,19,Excellent,1,0,5,3,Better,0,0,0,0
469,29,No,Non-Travel,746,Sales,2,Bachelor,Life Sciences,Very High,Male,61,High,2,Sales Executive,High,Married,4649,16928,1,No,14,Excellent,1,1,4,3,Good,4,3,0,2
470,42,No,Travel_Rarely,544,Human Resources,2,Below College,Technical Degree,High,Male,52,High,1,Human Resources,High,Divorced,2696,24017,0,Yes,11,Excellent,3,1,4,5,Better,3,2,1,0
475,30,No,Non-Travel,641,Sales,25,College,Technical Degree,Very High,Female,85,High,2,Sales Executive,High,Married,4736,6069,7,Yes,12,Excellent,2,1,4,2,Best,2,2,2,2
476,26,No,Travel_Rarely,933,Sales,1,Bachelor,Life Sciences,High,Male,57,High,2,Sales Executive,High,Married,5296,20156,1,No,17,Excellent,2,1,8,3,Better,8,7,7,7
478,21,Yes,Travel_Frequently,756,Sales,1,Below College,Technical Degree,Low,Female,99,Medium,1,Sales Representative,Medium,Single,2174,9150,1,Yes,11,Excellent,3,0,3,3,Better,3,2,1,2
479,36,No,Non-Travel,845,Sales,1,Doctor,Medical,Very High,Female,45,High,2,Sales Executive,Very High,Single,6653,15276,4,No,15,Excellent,2,0,7,6,Better,1,0,0,0
481,36,No,Travel_Frequently,541,Sales,3,Master,Medical,Low,Male,48,Medium,3,Sales Executive,Very High,Married,9699,7246,4,No,11,Excellent,1,1,16,2,Better,13,9,1,12
484,21,No,Non-Travel,895,Sales,9,College,Medical,Low,Male,39,High,1,Sales Representative,Very High,Single,2610,2851,1,No,24,Outstanding,3,0,3,3,Good,3,2,2,2
485,33,Yes,Travel_Rarely,350,Sales,5,Bachelor,Marketing,Very High,Female,34,High,1,Sales Representative,High,Single,2851,9150,1,Yes,13,Excellent,2,0,1,2,Better,1,0,0,0
488,41,Yes,Travel_Frequently,143,Sales,4,Bachelor,Marketing,Low,Male,56,High,2,Sales Executive,Medium,Single,9355,9558,1,No,18,Excellent,3,0,8,5,Better,8,7,7,7
492,40,Yes,Travel_Rarely,575,Sales,22,College,Marketing,High,Male,68,Medium,2,Sales Executive,High,Married,6380,6110,2,Yes,12,Excellent,1,2,8,6,Better,6,4,1,0
494,21,Yes,Travel_Rarely,156,Sales,12,Bachelor,Life Sciences,High,Female,90,Very High,1,Sales Representative,Medium,Single,2716,25422,1,No,15,Excellent,4,0,1,0,Better,1,0,0,0
498,28,No,Travel_Rarely,304,Sales,9,Master,Life Sciences,Medium,Male,92,High,2,Sales Executive,Very High,Single,5253,20750,1,No,16,Excellent,4,0,7,1,Better,7,5,0,7
500,51,No,Travel_Rarely,1178,Sales,14,College,Life Sciences,High,Female,87,High,2,Sales Executive,Very High,Married,4936,14862,4,No,11,Excellent,3,1,18,2,Good,7,7,0,7
502,34,Yes,Non-Travel,1362,Sales,19,Bachelor,Marketing,Low,Male,67,Very High,2,Sales Executive,Very High,Single,5304,4652,8,Yes,13,Excellent,2,0,9,3,Good,5,2,0,4
507,24,No,Travel_Rarely,1371,Sales,10,Master,Marketing,Very High,Female,77,High,2,Sales Executive,High,Divorced,4260,5915,1,Yes,12,Excellent,4,1,5,2,Best,5,2,0,3
508,30,No,Travel_Rarely,202,Sales,2,Below College,Technical Degree,High,Male,72,High,1,Sales Representative,Medium,Married,2476,17434,1,No,18,Excellent,1,1,1,3,Better,1,0,0,0
513,36,No,Travel_Rarely,164,Sales,2,College,Medical,Medium,Male,61,Medium,3,Sales Executive,High,Married,7596,3809,1,No,13,Excellent,2,2,10,2,Better,10,9,9,0
516,40,No,Travel_Rarely,759,Sales,2,College,Marketing,Very High,Female,46,High,2,Sales Executive,Medium,Divorced,5715,22553,7,No,12,Excellent,3,2,8,5,Better,5,4,1,3
523,34,No,Non-Travel,1381,Sales,4,Master,Marketing,High,Female,72,High,2,Sales Executive,High,Married,6538,12740,9,No,15,Excellent,1,1,6,3,Better,3,2,1,2
527,25,No,Travel_Rarely,891,Sales,4,College,Life Sciences,Medium,Female,99,Medium,2,Sales Executive,Very High,Single,4487,12090,1,Yes,11,Excellent,2,0,5,3,Better,5,4,1,3
532,56,No,Travel_Frequently,906,Sales,6,Bachelor,Life Sciences,High,Female,86,Very High,4,Sales Executive,Low,Married,13212,18256,9,No,11,Excellent,4,3,36,0,Good,7,7,7,7
533,30,No,Travel_Rarely,1082,Sales,12,Bachelor,Technical Degree,Medium,Female,83,High,2,Sales Executive,High,Single,6577,19558,0,No,11,Excellent,2,0,6,6,Better,5,4,4,4
534,41,No,Travel_Rarely,645,Sales,1,Bachelor,Marketing,Medium,Male,49,Very High,3,Sales Executive,Low,Married,8392,19566,1,No,16,Excellent,3,1,10,2,Better,10,7,0,7
554,24,Yes,Travel_Rarely,1448,Sales,1,Below College,Technical Degree,Low,Female,62,High,1,Sales Representative,Medium,Single,3202,21972,1,Yes,16,Excellent,2,0,6,4,Better,5,3,1,4
555,34,Yes,Travel_Frequently,296,Sales,6,College,Marketing,Very High,Female,33,Low,1,Sales Representative,High,Divorced,2351,12253,0,No,16,Excellent,4,1,3,3,Good,2,2,1,0
656,37,No,Travel_Rarely,558,Sales,2,Bachelor,Marketing,Very High,Male,75,High,2,Sales Executive,High,Married,9602,3010,4,Yes,11,Excellent,3,1,17,3,Good,3,0,1,0
566,19,Yes,Travel_Rarely,489,Human Resources,2,College,Technical Degree,Low,Male,52,Medium,1,Human Resources,Very High,Single,2564,18437,1,No,12,Excellent,3,0,1,3,Best,1,0,0,0
567,30,No,Non-Travel,1398,Sales,22,Master,Other,High,Female,69,High,3,Sales Executive,Low,Married,8412,2890,0,No,11,Excellent,3,0,10,3,Better,9,8,7,8
573,60,No,Travel_Frequently,1499,Sales,28,Bachelor,Marketing,High,Female,80,Medium,3,Sales Executive,Low,Married,10266,2845,4,No,19,Excellent,4,0,22,5,Best,18,13,13,11
580,46,No,Travel_Rarely,1125,Sales,10,Bachelor,Marketing,High,Female,94,Medium,3,Sales Executive,Very High,Married,9071,11563,2,Yes,19,Excellent,3,1,15,3,Better,3,2,1,2
585,30,No,Travel_Rarely,413,Sales,7,Below College,Marketing,Very High,Male,57,High,1,Sales Representative,Medium,Single,2983,18398,0,No,14,Excellent,1,0,4,3,Better,3,2,1,2
590,34,Yes,Travel_Frequently,988,Human Resources,23,Bachelor,Human Resources,Medium,Female,43,High,3,Human Resources,Low,Divorced,9950,11533,9,Yes,15,Excellent,3,3,11,2,Better,3,2,0,2
592,36,No,Non-Travel,635,Sales,10,Master,Medical,Medium,Male,32,High,3,Sales Executive,Very High,Single,9980,15318,1,No,14,Excellent,4,0,10,3,Good,10,3,9,7
595,48,No,Travel_Rarely,163,Sales,2,Doctor,Marketing,Medium,Female,37,High,2,Sales Executive,Very High,Married,4051,19658,2,No,14,Excellent,1,1,14,2,Better,9,7,6,7
599,41,No,Non-Travel,267,Sales,10,College,Life Sciences,Very High,Male,56,High,2,Sales Executive,Very High,Single,6230,13430,7,No,14,Excellent,4,0,16,3,Better,14,3,1,10
600,35,No,Travel_Rarely,619,Sales,1,Bachelor,Marketing,Medium,Male,85,High,2,Sales Executive,High,Married,4717,18659,9,No,11,Excellent,3,0,15,2,Better,11,9,6,9
604,31,No,Travel_Rarely,828,Sales,2,Below College,Life Sciences,Medium,Male,77,High,2,Sales Executive,Very High,Single,6582,8346,4,Yes,13,Excellent,3,0,10,2,Best,6,5,0,5
606,45,No,Travel_Rarely,561,Sales,2,Bachelor,Other,Very High,Male,61,High,2,Sales Executive,Medium,Married,4805,16177,0,No,19,Excellent,2,1,9,3,Best,8,7,3,7
608,26,Yes,Travel_Frequently,426,Human Resources,17,Master,Life Sciences,Medium,Female,58,High,1,Human Resources,High,Divorced,2741,22808,0,Yes,11,Excellent,2,1,8,2,Good,7,7,1,0
614,18,Yes,Travel_Frequently,1306,Sales,5,Bachelor,Marketing,Medium,Male,69,High,1,Sales Representative,Medium,Single,1878,8059,1,Yes,14,Excellent,4,0,0,3,Better,0,0,0,0
615,40,No,Non-Travel,1094,Sales,28,Bachelor,Other,High,Male,58,Low,3,Sales Executive,Low,Divorced,10932,11373,3,No,15,Excellent,3,1,20,2,Better,1,0,0,1
618,26,No,Travel_Rarely,775,Sales,29,College,Medical,Low,Male,45,High,2,Sales Executive,High,Divorced,4306,4267,5,No,12,Excellent,1,2,8,5,Better,0,0,0,0
620,35,No,Travel_Rarely,195,Sales,1,Bachelor,Medical,Low,Female,80,High,2,Sales Executive,High,Single,4859,6698,1,No,16,Excellent,4,0,5,3,Better,5,4,0,3
621,34,No,Travel_Rarely,258,Sales,21,Master,Life Sciences,Very High,Male,74,Very High,2,Sales Executive,Very High,Single,5337,19921,1,No,12,Excellent,4,0,10,3,Better,10,7,5,7
626,37,No,Non-Travel,142,Sales,9,Master,Medical,Low,Male,69,High,3,Sales Executive,Medium,Divorced,8834,24666,1,No,13,Excellent,4,1,9,6,Better,9,5,7,7
631,32,Yes,Non-Travel,1474,Sales,11,Master,Other,Very High,Male,60,Very High,2,Sales Executive,High,Married,4707,23914,8,No,12,Excellent,4,0,6,2,Better,4,2,1,2
632,24,No,Travel_Frequently,535,Sales,24,Bachelor,Medical,Very High,Male,38,High,1,Sales Representative,Very High,Married,2400,5530,0,No,13,Excellent,3,2,3,3,Better,2,2,2,1
641,26,No,Travel_Rarely,703,Sales,28,College,Marketing,Low,Male,66,High,2,Sales Executive,Medium,Married,6272,7428,1,No,20,Outstanding,4,2,6,5,Best,5,3,1,4
